NAMESPACE,POD,CONTAINER,WHOAMI,ID
baron,jupyter-deployment-6ccd96dcd4-r85kl,jupyter,"jovyan","uid=1000(jovyan) gid=100(users) groups=100(users)"
cert-manager,cert-manager-cainjector-c7d4dbdd9-b9sjj,cert-manager-cainjector,"",""
cchou0519,openai-api-forward-68879746b6-z8swb,openai-api-proxy,"root","uid=0(root) gid=0(root) groups=0(root)"
cert-manager,cert-manager-78dd5684c9-jt6jb,cert-manager-controller,"",""
cilium-test-1,client3-7f986c467b-7mmkx,client3,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,client2-6b89df6c77-2lwhj,client2,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,client-59476dbc54-cz69q,client,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,echo-other-node-d9bf5c4c7-n94ph,echo-other-node,"root","uid=0(root) gid=0(root) groups=0(root)"
cilium-test-1,host-netns-gb26v,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,echo-other-node-d9bf5c4c7-n94ph,dns-test-server,"",""
cert-manager,cert-manager-webhook-847d7676c9-vvx2j,cert-manager-webhook,"",""
cilium-test-1,echo-same-node-79556b7775-7j5ph,echo-same-node,"root","uid=0(root) gid=0(root) groups=0(root)"
cilium-test-1,host-netns-6v879,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,host-netns-nl684,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,echo-same-node-79556b7775-7j5ph,dns-test-server,"",""
cilium-test-1,host-netns-8qj8m,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
clickhouse-operator,chi-ch-prod-main-0-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
cilium-test-1,host-netns-sfljr,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
cilium-test-1,host-netns-w6cfv,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
clickhouse-operator,chi-ch-prod-main-1-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-ch-prod-main-0-1-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
cilium-test-1,host-netns-t6qth,host-netns,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
clickhouse-operator,chi-ch-prod-main-1-1-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-chi-keeper-sharded-main-0-1-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-ch-single-main-0-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-chi-keeper-sharded-main-0-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-chi-keeper-sharded-main-1-0-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chi-chi-keeper-sharded-main-1-1-0,clickhouse,"root","uid=0(root) gid=0(root) groups=0(root)"
clickhouse-operator,chk-clickhouse-keeper-chk01-0-1-0,clickhouse-keeper,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
clickhouse-operator,chk-clickhouse-keeper-chk01-0-0-0,clickhouse-keeper,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
clickhouse-operator,chk-clickhouse-keeper-chk01-0-2-0,clickhouse-keeper,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
